0,100000000000000000000000000
1,010000000000000000000000000
2,001000000000000000000000000
3,000100000000000000000000000
4,000010000000000000000000000
5,000001000000000000000000000
6,000000100000000000000000000
7,000000010000000000000000000
8,000000001000000000000000000
9,000000000100000000000000000
一,000000000010000000000000000
二,000000000001000000000000000
三,000000000000100000000000000
四,000000000000010000000000000
五,000000000000001000000000000
六,000000000000000100000000000
七,000000000000000010000000000
八,000000000000000001000000000
九,000000000000000000100000000
十,000000000000000000010000000
零,000000000000000000001000000
apple,000000000000000000000100000
car,000000000000000000000010000
female,000000000000000000000001000
male,000000000000000000000000100
moon,000000000000000000000000010
sun,000000000000000000000000001
